Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Borough,time_identifier
Person search,2023-05-22 19:20:00,False,,51.53645,-0.102913,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Islington,Summer term
Person search,2023-05-22 19:30:00,False,,51.464262,-0.035509,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Lewisham,Summer term
Person search,2023-05-22 20:00:00,False,,51.531945,-0.106273,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Islington,Summer term
Person search,2023-05-22 20:00:00,False,,51.537584,0.073966,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Barking and Dagenham,Summer term
Person search,2023-05-22 20:00:00,False,,51.537584,0.073966,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Barking and Dagenham,Summer term
Person search,2023-05-22 20:09:00,False,,51.481576,-0.178239,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Kensington and Chelsea,Summer term
Person search,2023-05-22 20:10:00,False,,51.534992,-0.441726,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Hillingdon,Summer term
Person search,2023-05-22 20:30:00,False,,51.533046,-0.0971,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Islington,Summer term
Person search,2023-05-22 20:30:00,False,,51.533046,-0.0971,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,,,Islington,Summer term
Person search,2023-05-22 21:00:00,False,,51.473092,-0.059724,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Southwark,Summer term
